regiao,estado,latitude,longitude,dataColeta,valorVenda
NE,MA,-2.494194799999974,-44.239686,24/02/2021,5.299
NE,RN,-5.8706782,-35.2199985,06/10/2021,6.68
NE,CE,-4.969686199999975,-39.0111378,17/02/2020,4.69
SE,MG,-19.91312459999997,-43.9188839,09/03/2022,6.82
SE,SP,-22.8471435,-47.1633715,06/06/2022,6.89
SE,SP,-22.88555889999997,-47.06262689999999,05/01/2021,4.299
SE,RJ,-22.8042982,-42.9745179,10/03/2022,6.79
NE,CE,-3.775411799999974,-38.59487409999999,12/01/2022,6.39
NE,BA,-14.2223898,-42.7768108,29/03/2022,7.89
CO,DF,-15.7662181,-47.8920845,17/02/2020,4.569
SE,SP,-22.20868859999997,-49.95351459999999,29/09/2021,5.649
SE,SP,-22.13320109999997,-51.3787688,27/06/2022,6.69
SE,SP,-22.3076348,-49.0211225,05/04/2022,6.79
S,RS,-29.67058139999997,-51.1283312,19/05/2021,5.779
SE,MG,-20.91293669999997,-46.963738,10/02/2020,4.949
N,AC,-9.9612369,-67.7973653,28/10/2020,5.09
CO,GO,-17.77919279999998,-50.93088909999999,06/08/2020,4.26
N,PA,-5.3451205,-49.0781208,21/04/2021,5.53
SE,MG,-19.75486629999997,-47.9341057,06/05/2020,3.999
S,RS,-29.15453879999998,-51.1648467,11/10/2021,6.619
NE,RN,-5.853573399999974,-35.1808762,26/01/2021,5.19
SE,SP,-23.6106567,-46.7739517,27/04/2020,3.999
S,PR,-24.71123249999997,-53.7382654,19/05/2022,7.29
CO,GO,-16.71664889999997,-49.255336,02/01/2020,4.77
SE,SP,-23.02991109999997,-46.9711809,07/10/2021,5.769
NE,RN,-5.849979399999974,-35.1881457,27/10/2021,7.19
SE,SP,-23.61178739999997,-46.57238049999999,28/02/2022,6.79
SE,SP,-20.4108251,-49.9713018,17/11/2021,6.499
SE,SP,-23.47088059999997,-46.6702368,02/12/2021,6.199
SE,SP,-23.49339059999997,-46.4103545,08/09/2021,5.499
