regiao,latitude,longitude,dataColeta,valorVenda,diesel,dieselS10,etanol,gasolina,gasolinaAditivada,gnv
SE,-23.11326009999997,-47.2209944,30/11/2021,5.399,0,0,1,0,0,0
S,-25.50955529999997,-54.5293818,01/02/2021,4.55,0,0,0,1,0,0
SE,-22.9071138,-42.8213873,31/08/2021,6.399,0,0,0,1,0,0
NE,-2.537444599999974,-44.26088590000001,07/07/2021,4.599,0,1,0,0,0,0
NE,-5.125214199999975,-42.7956396,13/04/2021,4.16,0,0,1,0,0,0
SE,-19.9178728,-43.9687071,13/07/2021,5.785,0,0,0,1,0,0
S,-25.36625489999998,-51.4741755,21/09/2021,6.099,0,0,0,0,1,0
S,-29.675241,-51.08800230000001,29/07/2021,5.739,0,0,0,1,0,0
SE,-23.61507359999998,-46.56679380000001,26/04/2021,5.399,0,0,0,0,1,0
S,-26.82579879999997,-49.0870068,25/02/2021,5.149,0,0,0,1,0,0
NE,-7.119580199999974,-34.8443015,23/08/2021,4.149,0,0,0,0,0,1
NE,-14.80050899999998,-39.29152550000001,16/11/2021,5.35,0,1,0,0,0,0
S,-29.82768499999998,-51.1543497,28/10/2021,4.869,1,0,0,0,0,0
S,-23.29817529999998,-50.08020429999999,08/08/2021,5.59,0,0,0,1,0,0
NE,-2.531468299999974,-44.19706499999999,29/12/2021,6.369,0,0,0,1,0,0
NE,-7.136182299999974,-34.8853848,12/04/2021,3.379,0,0,0,0,0,1
SE,-22.91276029999997,-43.2096572,04/05/2021,6.299,0,0,0,0,1,0
S,-23.39746179999997,-51.8878163,29/07/2021,4.46,1,0,0,0,0,0
CO,-20.49833039999998,-54.5676656,18/11/2021,6.479,0,0,0,1,0,0
S,-25.3884785,-51.475139,01/12/2021,5.469,0,0,1,0,0,0
SE,-16.73014509999997,-43.8456093,24/08/2021,4.57,1,0,0,0,0,0
SE,-23.64657559999997,-46.813286,04/10/2021,5.787,0,0,0,1,0,0
SE,-23.62877069999998,-46.5630563,31/05/2021,5.899,0,0,0,1,0,0
NE,-12.95362089999997,-38.3805222,17/05/2021,5.89,0,0,0,1,0,0
NE,-3.777913699999975,-38.5140839,14/02/2021,4.07,0,0,1,0,0,0
SE,-19.48248209999997,-44.2522092,08/12/2021,5.149,0,1,0,0,0,0
